	Pool	PSMA3	DLST	MCM2	SMG1	ARP3	V5	CPSF30	CCT2	COG3	EXOSC10	SMARCC1	RPL23	DCTN1	RUVBL2	EIF3A	RANBP9	SEPTIN2	APC2	COPB1	Prefoldin1	RPL23A	EXOSC2	COPS5	DLD	PSF1	PPP2CA/B C subunit	DYNC1H1	FUS	CSTF64	IgG
0	1	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0
1	2	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0
2	3	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0
3	4	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.125	0.0	0.0	0.5	0.0
4	5	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.125	0.0	0.0
5	6	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.125
6	7	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.5
7	8	0.0	0.5	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0
8	9	0.0	0.0	0.0	0.5	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0
9	10	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0
10	11	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0
11	12	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.25
12	13	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0
13	14	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5	0.0	0.0
14	15	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.5	2.5
