	ANAPC5	CCT7	DYNC1I2	IgG	PSMA3	DLST	CCT2	SMG1	V5	CPSF4	MCM2	EXOSC10	SMARCC1	RPL23	DCTN1	DLD	EIF3A	RANBP9	SEPT2	CSTF2	COPB1	EXOSC2	FUS	RPL23A	RUVBL2	GINS1	PPP2CA;PPP2CB	PFDN1	DYNC1H1	ANAPC2
	Q9UJX4	Q99832	Q13409		P25788	P36957	P78371	Q96Q15		O95639	P49736	Q01780	Q92922	P62829	Q14203	P09622	Q14152	Q96S59	Q15019	P33240	P53618	Q13868	P35637	P62750	Q9Y230	Q14691	P67775	O60925	Q14204	Q9UJX6
Pool.1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0
Pool.2	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0
Pool.3	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0
Pool.4	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0
Pool.5	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0
Pool.6	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0
Pool.7	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
Pool.8	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Pool.9	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0
Pool.10	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0
Pool.11	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0
Pool.12	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0
Pool.13	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0
Pool.14	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0
Pool.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
